Model,Corruption,Method,Accuracy,Balanced_Acc,MCC,F1_macro,Specificity,Jaccard,LogLoss,ROC_AUC
YorubaNet,Gaussian Blur (σ=2),No TTA,0.7932467532467532,0.7932467532467533,0.7873092636837065,0.793322248,0.9939190221543163,0.6651248248941791,0.7530021480392645,0.9903587749149246
YorubaNet,Gaussian Blur (σ=2),BN‑TTA,0.7636363636363637,0.7636363636363637,0.7569196104107393,0.7645914740943396,0.9930481283422458,0.6264187978807261,0.863649673,0.9885153135634419
YorubaNet,Gaussian Blur (σ=2),TENT,0.4503896103896104,0.4503896103896104,0.4358915546597489,0.4458648098483639,0.9838349885408709,0.29918103617241115,2.4466754702040974,0.9453623168275576
YorubaNet,Gaussian Blur (σ=2),TTT,0.4477922077922078,0.4477922077922078,0.4333375528426871,0.44419609862793097,0.9837585943468298,0.2960368409572841,2.448153990703307,0.9458723522466839
YorubaNet,Salt-Pepper Noise (5%),No TTA,0.072207792,0.072207792,0.050170411,0.025898147660439356,0.9727119938884647,0.014056196077157104,7.620612140102956,0.7096370581290367
YorubaNet,Salt-Pepper Noise (5%),BN‑TTA,0.21818181818181817,0.21818181818181814,0.20064684676981023,0.2020340032780527,0.9770053475935829,0.12284039498107176,4.303188628877589,0.9128639488853394
YorubaNet,Salt-Pepper Noise (5%),TENT,0.32415584415584414,0.32415584415584414,0.30600296241437064,0.3295668168099942,0.980122231,0.20306996323772125,2.810948934767854,0.9278030418779082
YorubaNet,Salt-Pepper Noise (5%),TTT,0.3641558441558442,0.36415584415584407,0.34696336616348983,0.36884759109617443,0.9812987012987012,0.2347404430644374,2.55935005,0.9368806167094935
YorubaNet,Thinning (threshold=0.3),No TTA,0.19844155844155845,0.1984415584415585,0.17975204554453153,0.16269695754086297,0.9764247517188693,0.095967672,4.570868185947499,0.9277341482047364
YorubaNet,Thinning (threshold=0.3),BN‑TTA,0.44987012987012986,0.44987012987012986,0.43714775077725576,0.4352136697728606,0.9838197097020628,0.30818219781638745,2.494368019443468,0.9616192791166055
YorubaNet,Thinning (threshold=0.3),TENT,0.43064935064935067,0.4306493506493506,0.415546202,0.4286305814501932,0.9832543926661573,0.2841531583746238,2.5238237294823835,0.9425385096187235
YorubaNet,Thinning (threshold=0.3),TTT,0.43376623376623374,0.43376623376623374,0.41878707375066687,0.43052427953450945,0.9833460656990068,0.2853045803512718,2.513226083,0.9428890895201056
ResNet18,Gaussian Blur (σ=2),No TTA,0.9802597402597403,0.9802597402597404,0.9797006451004238,0.9802156461343785,0.9994194041252866,0.9626601860944212,0.087821968,0.9995749704840614
ResNet18,Gaussian Blur (σ=2),BN‑TTA,0.9776623376623377,0.9776623376623377,0.977037647,0.9775735711843784,0.9993430099312454,0.9575808174324331,0.10452788402129715,0.999208417
ResNet18,Gaussian Blur (σ=2),TENT,0.5361038961038961,0.5361038961038961,0.5230508795567629,0.5314858855984346,0.9863559969442323,0.37116580534131266,2.3596047960551405,0.9178754080144453
ResNet18,Gaussian Blur (σ=2),TTT,0.49766233766233764,0.49766233766233753,0.48331686458126905,0.4948373773152089,0.9852253628724219,0.3385911609265221,2.435986761736126,0.9140226404611432
ResNet18,Salt-Pepper Noise (5%),No TTA,0.8597402597402597,0.8597402597402598,0.8568615098877598,0.8641223864749814,0.9958747135217725,0.7711213554832643,0.5943875155591526,0.996901035
ResNet18,Salt-Pepper Noise (5%),BN‑TTA,0.9646753246753247,0.9646753246753247,0.9636596539768145,0.9647650547763086,0.998961039,0.9348171986001063,0.15006985865309108,0.9991081325092019
ResNet18,Salt-Pepper Noise (5%),TENT,0.5397402597402597,0.5397402597402597,0.5267814159619592,0.5353027894795925,0.9864629488158899,0.37498777848286374,2.2831292086671118,0.9219034655184389
ResNet18,Salt-Pepper Noise (5%),TTT,0.5044155844155844,0.5044155844155843,0.4902685021671131,0.5012914943482648,0.985423988,0.3430774569898455,2.3411413454871273,0.9183301618167927
ResNet18,Thinning (threshold=0.3),No TTA,0.9236363636363636,0.9236363636363637,0.9216969108118169,0.9257636294529382,0.9977540106951872,0.8663517981294766,0.24547757865110237,0.9990835474685742
ResNet18,Thinning (threshold=0.3),BN‑TTA,0.9693506493506493,0.9693506493506492,0.9684833667775109,0.9693546004577818,0.9990985485103132,0.9423156074242306,0.12224905031869394,0.9991224390582677
ResNet18,Thinning (threshold=0.3),TENT,0.5314285714285715,0.5314285714285714,0.5182719967302899,0.5273568233493803,0.9862184873949579,0.3682389411503031,2.3518547998269552,0.9187096326133759
ResNet18,Thinning (threshold=0.3),TTT,0.49714285714285716,0.4971428571428571,0.48292330121612764,0.4949004008367953,0.9852100840336135,0.3388653271645688,2.4513121871064563,0.9140656990068754
